cell_id,encoder,leverage,reward,episode,algorithm,architecture,target,config_name,test_return_mean,test_return_std,test_sharpe_mean,test_sharpe_std,test_mdd_mean,test_turnover_mean,test_n_liq_mean,seeds_completed
E0L1R0S1,LSTM,L=3+liq,diff_sharpe,random_subs,A2C,asset,XRPUSDT,a2c_sb3_default,-0.17226543820867052,0.885806602009367,-0.2713375872997604,1.4734582363767132,0.7613370805673536,0.0003506311360448,0.0,5
E0L1R0S1,LSTM,L=3+liq,diff_sharpe,random_subs,A2C,portfolio,ALL,a2c_sb3_default,-0.5213474286722604,0.3858541033458874,-1.2233111629310107,1.0789655556640871,0.64757040770817,0.00058344716802606,0.2,5
E0L1R0S1,LSTM,L=3+liq,diff_sharpe,random_subs,PPO,asset,BTCUSDT,ppo_canonical,-0.29353344239701484,0.5688478259803239,-0.6480986399355103,1.432325285164887,0.6565334900291934,0.03188041071285036,0.0,5
E0L1R0S1,LSTM,L=3+liq,diff_sharpe,random_subs,PPO,asset,ETHUSDT,ppo_short_rollout,0.06018289655760478,0.7797399174601297,0.24334460750734282,1.3458493298079302,0.695474989184065,0.0003506311360448,0.0,5
E0L1R0S1,LSTM,L=3+liq,diff_sharpe,random_subs,PPO,asset,SOLUSDT,ppo_short_rollout,-0.3816293454654513,0.824705645590658,-0.5020520946624373,1.3618817538400534,0.8199927991729883,0.00217120157343136,0.0,5
E0L1R0S1,LSTM,L=3+liq,diff_sharpe,random_subs,PPO,asset,XRPUSDT,ppo_canonical,-0.4398280909301332,0.5705839590785138,-0.6661577839104948,1.2051477841814262,0.7422558708605419,0.09083491440308582,0.0,5
E0L1R0S1,LSTM,L=3+liq,diff_sharpe,random_subs,PPO,portfolio,ALL,ppo_short_rollout,-0.6169919549399429,0.3127565130250598,-1.5022783899849728,1.0648524203720338,0.7282247713376867,0.0735419131694959,0.2,5
E0L1R0S1,LSTM,L=3+liq,diff_sharpe,random_subs,RecurrentPPO,asset,BTCUSDT,rppo_short_rollout,-0.2938040958303517,0.45757682224159646,-0.3833822764856783,0.9786598159986931,0.6566475752250984,0.009668855885302318,0.0,5
E0L1R0S1,LSTM,L=3+liq,diff_sharpe,random_subs,RecurrentPPO,asset,ETHUSDT,rppo_short_rollout,-0.5677153484592048,0.6619024432604353,-1.3923460934899656,1.7274738674081795,0.8365830419714666,0.03098902244351328,0.2,5
E0L1R0S1,LSTM,L=3+liq,diff_sharpe,random_subs,RecurrentPPO,asset,SOLUSDT,rppo_canonical,-0.8345083939206862,0.16591063698058442,-3.9586876808359874,3.094886298464506,0.8882622228603416,0.3695198424127402,0.6,5
E0L1R0S1,LSTM,L=3+liq,diff_sharpe,random_subs,RecurrentPPO,asset,XRPUSDT,rppo_short_rollout,-0.3886294400710117,0.7009070679066068,-0.48898316096726047,1.231391168719816,0.774648127128526,0.020022823258471538,0.0,5
E0L1R0S1,LSTM,L=3+liq,diff_sharpe,random_subs,RecurrentPPO,portfolio,ALL,rppo_short_rollout,-0.18366376285813826,0.39474351805728985,-0.40417659143496676,1.3770121516033869,0.5179338225849989,0.0833981933082985,0.0,5
E0L1R1S0,LSTM,L=3+liq,log_penalty,sequential,A2C,asset,BTCUSDT,a2c_sb3_default,0.030023868097309236,0.5731329160058426,0.21336797480095226,1.1871031648589008,0.5915638836624393,0.0003506311360448,0.0,5
